time,Prices
16/11/21,0.034
17/11/21,0.035
18/11/21,0.034
19/11/21,0.03
20/11/21,0.031
21/11/21,0.036
22/11/21,0.039
23/11/21,0.044
24/11/21,0.041
25/11/21,0.034
26/11/21,0.038
27/11/21,0.036
28/11/21,0.039
29/11/21,0.041
30/11/21,0.04
01/12/21,0.037
02/12/21,0.033
03/12/21,0.03
04/12/21,0.03
05/12/21,0.032
06/12/21,0.032
07/12/21,0.034
08/12/21,0.035
09/12/21,0.035
10/12/21,0.034
11/12/21,0.034
12/12/21,0.037
13/12/21,0.041
14/12/21,0.04
15/12/21,0.04
16/12/21,0.038
17/12/21,0.036
18/12/21,0.036
19/12/21,0.038
20/12/21,0.037
21/12/21,0.038
22/12/21,0.039
23/12/21,0.039
24/12/21,0.038
25/12/21,0.038
26/12/21,0.04
27/12/21,0.043
28/12/21,0.041
29/12/21,0.039
30/12/21,0.04
31/12/21,0.033
