demand_electricity,pv,import,export_pv
-4.436139890094637,0.0,4.436139890094637,0.0
-5.738473223427718,0.0,5.738473223427718,0.0
-4.343139890090242,0.0,4.343139890090242,0.0
-2.315473223432491,0.0,2.315473223432491,0.0
-1.5388065567567537,0.0,1.5388065567567537,0.0
-1.5368065567672602,0.0,1.5368065567672602,0.0
-1.4368065567614394,0.0,1.4368065567614394,0.0
-1.683473223427427,0.0,1.683473223427427,0.0
-2.146473223427165,0.35641112849999995,1.790062094927165,0.0
-3.4834732234266994,2.14829066725,1.3351825561766995,0.0
-5.201139890097693,1.69439896325,3.5067409268476926,0.0
-6.292473223424167,1.328181253,4.964291970424167,0.0
-6.409806556763215,6.409806556763215,0.0,2.060826780486785
-4.266473223429784,4.266473223429784,0.0,2.690309051320215
-2.508806556757918,1.7011346905,0.8076718662579179,0.0
-2.5658065567586164,0.21867547099999998,2.3471310857586163,0.0
-2.866473223428329,0.0,2.866473223428329,0.0
-3.646473223430803,0.0,3.646473223430803,0.0
-4.107473223430134,0.0,4.107473223430134,0.0
-7.023139890090533,0.0,7.023139890090533,0.0
-5.704473223428067,0.0,5.704473223428067,0.0
-4.099806556761905,0.0,4.099806556761905,0.0
-3.624473223433597,0.0,3.624473223433597,0.0
-4.552806556755968,0.0,4.552806556755968,0.0
-3.2818065567626036,0.0,3.2818065567626036,0.0
-1.9604732234256517,0.0,1.9604732234256517,0.0
-1.649139890098013,0.0,1.649139890098013,0.0
-1.6488065567609738,0.0,1.6488065567609738,0.0
-1.7038065567612648,0.0,1.7038065567612648,0.0
-1.5964732234242547,0.0,1.5964732234242547,0.0
-1.5688065567628655,0.0,1.5688065567628655,0.0
-2.204139890094666,0.0,2.204139890094666,0.0
-2.055473223423178,0.41040990725,1.6450633161731778,0.0
-2.8104732234351104,2.6178623169999997,0.1926109064351107,0.0
-3.2418065567580925,2.83305748425,0.40874907250809267,0.0
-3.6608065567597805,3.6149262782499996,0.045880278509780936,0.0
-4.904806556765834,4.904806556765834,0.0,1.457455258234166
-3.8134732234248077,2.4032682485,1.4102049749248078,0.0
-2.4371398900948407,0.9744255797499999,1.4627143103448408,0.0
-2.0081398900947534,0.22689831149999998,1.7812415785947533,0.0
-2.8444732234238472,0.0,2.8444732234238472,0.0
-3.7018065567681333,0.0,3.7018065567681333,0.0
-4.099139890095103,0.0,4.099139890095103,0.0
-4.404139890091756,0.0,4.404139890091756,0.0
-5.74113989009129,0.0,5.74113989009129,0.0
-5.622139890092512,0.0,5.622139890092512,0.0
-5.333806556765921,0.0,5.333806556765921,0.0
-3.361806556760712,0.0,3.361806556760712,0.0
-2.8491398900914646,0.0,2.8491398900914646,0.0
-1.8421398900973145,0.0,1.8421398900973145,0.0
-1.634139890094957,0.0,1.634139890094957,0.0
-1.4934732234250987,0.0,1.4934732234250987,0.0
-1.5964732234315306,0.0,1.5964732234315306,0.0
-1.6088065567601006,0.0,1.6088065567601006,0.0
-1.5601398900944332,0.0,1.5601398900944332,0.0
-2.03347322342961,0.0,2.03347322342961,0.0
-2.1608065567597805,0.248990959,1.9118155977597806,0.0
-2.783806556759373,2.59515137525,0.1886551815093731,0.0
-4.463806556763302,2.97066908425,1.4931374725133022,0.0
-4.44780655676368,1.788273928,2.6595326287636807,0.0
-5.831473223424837,5.831473223424837,0.0,3.8367762923251636
-3.7898065567642334,3.7898065567642334,0.0,4.366733390735767
-2.872806556759315,2.307136657,0.5656698997593148,0.0
-4.316806556762458,0.18884594925,4.127960607512458,0.0
-3.661473223433859,0.0,3.661473223433859,0.0
-4.051473223418725,0.0,4.051473223418725,0.0
-4.799473223432869,0.0,4.799473223432869,0.0
-4.75680655675751,0.0,4.75680655675751,0.0
