demand_electricity,pv,import,export_pv
-0.0,0.0,0.7541437813160883,0.0
-0.0,0.0,0.9181557157484349,0.0
-0.0,0.0,0.6514709835135363,0.0
-0.0,0.0,0.2083925901089242,0.0
-0.0,0.0,0.15388065567567538,0.0
-0.0,0.0,0.21515291794741645,0.0
-0.0,0.0,0.21552098351421592,0.0
-0.0,0.0,0.16834732234274272,0.0
-0.0,0.0,0.12530434664490156,0.0
-0.0,0.0,0.13351825561766995,0.0
-0.0,0.0,0.490943729758677,0.0
-0.0,0.0,0.744643795563625,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0807671866257918,0.0
-0.0,0.0,0.3755409737213786,0.0
-0.0,0.0,0.487300447982816,0.0
-0.0,0.0,0.7292946446861607,0.0
-0.0,0.0,0.8625693769203281,0.0
-0.0,0.0,1.474859376919012,0.0
-0.0,0.0,1.197939376919894,0.0
-0.0,0.0,0.819961311352381,0.0
-0.0,0.0,0.6524051802180474,0.0
-0.0,0.0,0.7284490490809549,0.0
-0.0,0.0,0.4922709835143905,0.0
-0.0,0.0,0.27446625127959123,0.0
-0.0,0.0,0.23087958461372185,0.0
-0.0,0.0,0.1648806556760974,0.0
-0.0,0.0,0.2385329179465771,0.0
-0.0,0.0,0.2235062512793957,0.0
-0.0,0.0,0.23532098351442982,0.0
-0.0,0.0,0.3306209835141999,0.0
-0.0,0.0,0.24675949742597666,0.0
-0.0,0.0,0.03081774502961771,0.0
-0.0,0.0,0.06948734232637575,0.0
-0.0,0.0,0.008258450131760568,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.23973484573721734,0.0
-0.0,0.0,0.23403428965517453,0.0
-0.0,0.0,0.3028110683611081,0.0
-0.0,0.0,0.540449912450531,0.0
-0.0,0.0,0.9254516391920333,0.0
-0.0,0.0,0.9428021747218737,0.0
-0.0,0.0,0.9689107758201863,0.0
-0.0,0.0,1.148227978018258,0.0
-0.0,0.0,1.0119851802166522,0.0
-0.0,0.0,0.8000709835148881,0.0
-0.0,0.0,0.4706529179464997,0.0
-0.0,0.0,0.3703881857118904,0.0
-0.0,0.0,0.2394781857126509,0.0
-0.0,0.0,0.13073119120759658,0.0
-0.0,0.0,0.1194778578740079,0.0
-0.0,0.0,0.14368259010883774,0.0
-0.0,0.0,0.12870452454080805,0.0
-0.0,0.0,0.2496223824151093,0.0
-0.0,0.0,0.406694644685922,0.0
-0.0,0.0,0.4014812755295539,0.0
-0.0,0.0,0.04339069174715582,0.0
-0.0,0.0,0.3583529934031925,0.0
-0.0,0.0,0.558501852040373,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.11879067894945611,0.0
-0.0,0.0,1.1145493640283637,0.0
-0.0,0.0,0.988597770327142,0.0
-0.0,0.0,1.2154419670256174,0.0
-0.0,0.0,1.4878366992641896,0.0
-0.0,0.0,1.331905835892103,0.0
-0.0,0.0,1.2246288413882211,0.0
-0.0,0.0,0.8754279780194338,0.0
-0.0,0.0,0.61667044798196,0.0
-0.0,0.0,0.5008223824150627,0.0
-0.0,0.0,0.4300209835148053,0.0
-0.0,0.0,0.24702625127960348,0.0
-0.0,0.0,0.1862087212438928,0.0
-0.0,0.0,0.1713587212436687,0.0
-0.0,0.0,0.1818820545775452,0.0
-0.0,0.0,0.1922567868110491,0.0
-0.0,0.0,0.2939423824148253,0.0
-0.0,0.0,0.42716518021668887,0.0
-0.0,0.0,0.40607946353563096,0.0
-0.0,0.0,0.17968089293493322,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.3650401033374643,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.543982453096764,0.0
-0.0,0.0,0.4384484997028152,0.0
-0.0,0.0,0.46704657911675895,0.0
-0.0,0.0,0.8104279780185607,0.0
-0.0,0.0,0.9423613113533066,0.0
-0.0,0.0,0.7809899124504591,0.0
-0.0,0.0,0.7840071146499396,0.0
-0.0,0.0,0.5996490490820725,0.0
-0.0,0.0,0.5619957157486352,0.0
-0.0,0.0,0.4904209835145593,0.0
-0.0,0.0,0.3430195846126299,0.0
-0.0,0.0,0.2380187212436431,0.0
-0.0,0.0,0.13822452454100131,0.0
-0.0,0.0,0.1283578578743618,0.0
-0.0,0.0,0.12731785787444097,0.0
-0.0,0.0,0.14608259010834443,0.0
-0.0,0.0,0.300385180216399,0.0
-0.0,0.0,0.49987077582067285,0.0
-0.0,0.0,0.2922558565513964,0.0
-0.0,0.0,0.14159595616205542,0.0
-0.0,0.0,0.314116093117824,0.0
-0.0,0.0,0.3241358561127344,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.7163431312607113,0.0
-0.0,0.0,0.8143115224028922,0.0
-0.0,0.0,1.2094488413884756,0.0
-0.0,0.0,1.123417770325141,0.0
-0.0,0.0,1.5461477703248239,0.0
-0.0,0.0,1.4766677703244204,0.0
-0.0,0.0,0.9164335736248176,0.0
-0.0,0.0,0.7354174424873053,0.0
-0.0,0.0,0.6636293769195254,0.0
-0.0,0.0,0.6062279780191603,0.0
-0.0,0.0,0.5617793769201671,0.0
-0.0,0.0,0.37696131135162436,0.0
-0.0,0.0,0.3009865791181801,0.0
-0.0,0.0,0.2494451802171534,0.0
-0.0,0.0,0.25360711464887575,0.0
-0.0,0.0,0.294399912451554,0.0
-0.0,0.0,0.3450946446857415,0.0
-0.0,0.0,0.6807555080536986,0.0
-0.0,0.0,0.8107468152237046,0.0
-0.0,0.0,0.12596785202406657,0.0
-0.0,0.0,0.8790466376691385,0.0
-0.0,0.0,1.0307846659563773,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0914065084569983,0.0
-0.0,0.0,0.36066157325392617,0.0
-0.0,0.0,0.5425349725246633,0.0
-0.0,0.0,0.7844777703248474,0.0
-0.0,0.0,1.125397770324562,0.0
-0.0,0.0,1.4402658358938063,0.0
-0.0,0.0,1.3694516391897196,0.0
-0.0,0.0,0.7996655080553319,0.0
-0.0,0.0,0.8265755080566305,0.0
-0.0,0.0,0.6112693769187899,0.0
-0.0,0.0,0.5141093769196231,0.0
-0.0,0.0,0.35702937692123665,0.0
-0.0,0.0,0.32322797801753045,0.0
-0.0,0.0,0.31176131135216567,0.0
-0.0,0.0,0.33149464468660883,0.0
-0.0,0.0,0.327629376918303,0.0
-0.0,0.0,0.342655508055941,0.0
-0.0,0.0,0.546913573622005,0.0
-0.0,0.0,0.8716259282734773,0.0
-0.0,0.0,0.5184911087898811,0.0
-0.0,0.0,0.6558202775642176,0.0
-0.0,0.0,0.2712279325827245,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.2172561023291671,0.0
-0.0,0.0,0.44779516358286653,0.0
-0.0,0.0,0.46419357362261504,0.0
-0.0,0.0,0.8405477703254656,0.0
-0.0,0.0,0.9104777703249783,0.0
-0.0,0.0,1.634569704757596,0.0
-0.0,0.0,1.4052016391906363,0.0
-0.0,0.0,0.976033573623863,0.0
-0.0,0.0,0.922715508053625,0.0
-0.0,0.0,0.8116793769206561,0.0
-0.0,0.0,0.6499841091541748,0.0
-0.0,0.0,0.33308937691941537,0.0
-0.0,0.0,0.32036131135173496,0.0
-0.0,0.0,0.32442797801923007,0.0
-0.0,0.0,0.32936131135284086,0.0
-0.0,0.0,0.3042279780187528,0.0
-0.0,0.0,0.40732410915356015,0.0
-0.0,0.0,0.5477388413892186,0.0
-0.0,0.0,0.4006292129432973,0.0
-0.0,0.0,0.3022573635215045,0.0
-0.0,0.0,0.07658335730383047,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.20052040811231184,0.0
-0.0,0.0,0.4014299763696481,0.0
-0.0,0.0,0.514193573622324,0.0
-0.0,0.0,1.1164439014609524,0.0
-0.0,0.0,1.363941967028586,0.0
-0.0,0.0,1.9213872347947472,0.0
-0.0,0.0,1.1779991692266778,0.0
-0.0,0.0,0.9146735736209666,0.0
-0.0,0.0,0.6983888413889509,0.0
-0.0,0.0,0.6674155080551646,0.0
-0.0,0.0,0.6056907758222223,0.0
-0.0,0.0,0.2903613113507163,0.0
-0.0,0.0,0.3085613113536965,0.0
-0.0,0.0,0.28641991245061943,0.0
-0.0,0.0,0.26606518021726516,0.0
-0.0,0.0,0.25377711464952885,0.0
-0.0,0.0,0.2857451802160358,0.0
-0.0,0.0,0.35285657911837914,0.0
-0.0,0.0,0.2539845079223781,0.0
-0.0,0.0,0.22932738311655396,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.04119997565028861,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.07619257994449279,0.0
-0.0,0.0,0.11359167066108596,0.0
-0.0,0.0,0.47715162484112733,0.0
-0.0,0.0,0.8386121747215657,0.0
-0.0,0.0,0.9330030380917742,0.0
-0.0,0.0,1.626427770325463,0.0
-0.0,0.0,1.971037770324947,0.0
-0.0,0.0,0.87499357362336,0.0
-0.0,0.0,0.872184109154623,0.0
-0.0,0.0,0.9533641091535537,0.0
-0.0,0.0,0.5553613113530446,0.0
-0.0,0.0,0.4656946446848451,0.0
-0.0,0.0,0.29807324578425326,0.0
-0.0,0.0,0.29676131135274775,0.0
-0.0,0.0,0.25392991245160373,0.0
-0.0,0.0,0.2574251802168146,0.0
-0.0,0.0,0.26798991245101206,0.0
-0.0,0.0,0.37451357362355336,0.0
-0.0,0.0,0.5899419670280622,0.0
-0.0,0.0,0.5390940340842535,0.0
-0.0,0.0,0.15931111133626286,0.0
-0.0,0.0,0.6143773429830558,0.0
-0.0,0.0,0.30241565639045376,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0
-0.0,0.0,0.49405430344906837,0.0
-0.0,0.0,0.7124994360210405,0.0
-0.0,0.0,1.5406925025585225,0.0
-0.0,0.0,1.346741967028356,0.0
-0.0,0.0,1.560240568127301,0.0
-0.0,0.0,1.4650239014602264,0.0
-0.0,0.0,1.3861830380914035,0.0
-0.0,0.0,0.944193573622615,0.0
