demand_electricity,pv,battery,import,export_pv
-2.9161999999996624,0.0,0.0,2.9161999999996624,0.0
-2.3518000000003667,0.0,0.0,2.3518000000003667,0.0
-2.130200000003242,0.0,0.0,2.130200000003242,0.0
-1.8345999999983178,0.0,0.0,1.8345999999983178,0.0
-1.65099999999984,0.0,0.0,1.65099999999984,0.0
-1.1000000000003638,0.0,0.0,1.1000000000003638,0.0
-1.0028000000020256,0.0,0.0,1.0028000000020256,0.0
-1.1656000000002678,0.0,0.0,1.1656000000002678,0.0
-2.296599999996033,0.305495253,0.0,1.9911047469960328,0.0
-1.815999999998894,1.8413920004999997,-0.025392000501105707,-0.0,0.0
-1.5542000000004919,1.4523419685,0.020567520405895625,0.08129051109459602,0.0
-2.4126000000014756,1.138441074,0.0,1.2741589260014756,0.0
-4.61279999999897,7.260542860499999,-2.6477428605010296,-0.0,0.0
-6.58100000000195,5.962956235499999,0.6180437645019503,-0.0,0.0
-5.552799999999479,1.458115449,1.526627952503884,2.568056598495595,0.0
-3.8214000000043598,0.18743611799999998,0.0,3.63396388200436,0.0
-4.752999999993335,0.0,0.0,4.752999999993335,0.0
-3.966199999998935,0.0,0.0,3.966199999998935,0.0
-4.698800000003757,0.0,0.0,4.698800000003757,0.0
-5.431399999997666,0.0,0.0,5.431399999997666,0.0
-4.864600000002611,0.0,0.0,4.864600000002611,0.0
-4.60399999999936,0.0,0.0,4.60399999999936,0.0
-3.397800000002462,0.0,0.0,3.397800000002462,0.0
-2.732399999997142,0.0,0.0,2.732399999997142,0.0
-1.90139999999883,0.0,0.0,1.9013999999988302,0.0
-1.4976000000006024,0.0,0.0,1.4976000000006024,0.0
-1.7765999999992346,0.0,0.0,1.7765999999992346,0.0
-2.1335999999992055,0.0,0.0,2.1335999999992055,0.0
-0.9412000000011176,0.0,0.0,0.9412000000011177,0.0
-0.9330000000027212,0.0,0.0,0.9330000000027212,0.0
-0.9697999999953026,0.0,0.0,0.9697999999953026,0.0
-1.2026000000023487,0.0,0.0,1.2026000000023487,0.0
-1.4422000000031403,0.3517799205,0.0,1.0904200795031402,0.0
-1.7011999999976979,2.243881986,-0.5426819860023022,-0.0,0.0
-2.0499999999974534,2.4283349865,-0.3783349865025462,-0.0,0.0
-1.7224000000005617,3.0985082384999996,-1.3761082384994379,-0.0,0.0
-5.3608000000022,5.45336727,-0.09256726999779986,-0.0,0.0
-5.732399999997142,2.059944213,1.9356509096116898,1.7368048773854523,0.0
-4.678000000001703,0.8352219255,0.0,3.842778074501702,0.0
-3.716599999999744,0.194484267,0.0,3.522115732999744,0.0
-4.031799999998839,0.0,0.0,4.031799999998839,0.0
-3.629799999998795,0.0,0.0,3.6297999999987947,0.0
-3.5163999999986117,0.0,0.0,3.5163999999986117,0.0
-3.8070000000043365,0.0,0.0,3.807000000004336,0.0
-3.844199999995908,0.0,0.0,3.8441999999959076,0.0
-4.03240000000369,0.0,0.0,4.03240000000369,0.0
-3.7915999999968335,0.0,0.0,3.791599999996833,0.0
-3.431400000001304,0.0,0.0,3.431400000001304,0.0
-2.499600000002829,0.0,0.0,2.499600000002829,0.0
-2.048399999997855,0.0,0.0,2.048399999997855,0.0
-1.4992000000038388,0.0,0.0,1.4992000000038388,0.0
-0.8854000000010274,0.0,0.0,0.8854000000010275,0.0
-0.7439999999969586,0.0,0.0,0.7439999999969589,0.0
-0.8675999999995838,0.0,0.0,0.8675999999995839,0.0
-1.1512000000002445,0.0,0.0,1.1512000000002445,0.0
-1.9374000000007072,0.0,0.0,1.9374000000007072,0.0
-1.8912000000018452,0.21342082199999998,0.0,1.6777791780018452,0.0
-1.7687999999980093,2.2244154645,-0.45561546450199053,-0.0,0.0
-2.975399999997535,2.5462877864999998,0.36904852624661233,0.06006368725092277,0.0
-4.085800000000745,1.532806224,0.0,2.5529937760007453,0.0
-5.045600000001286,8.2870710135,-3.241471013498715,-0.0,0.0
-5.62840000000142,6.991319955,-1.36291995499858,-0.0,0.0
-3.7061999999950785,1.977545706,1.7286542939950789,-0.0,0.0
-5.241000000003623,0.1618679565,2.0009023904877297,3.0782296530158937,0.0
-3.263999999999214,0.0,0.0,3.263999999999214,0.0
-2.9682000000011612,0.0,0.0,2.9682000000011612,0.0
-2.8804000000000087,0.0,0.0,2.8804000000000087,0.0
-3.7673999999933585,0.0,0.0,3.767399999993358,0.0
-3.2440000000078726,0.0,0.0,3.2440000000078726,0.0
-3.1303999999945518,0.0,0.0,3.1303999999945518,0.0
-3.2070000000021537,0.0,0.0,3.2070000000021537,0.0
-2.212600000000748,0.0,0.0,2.212600000000748,0.0
-1.9093999999986409,0.0,0.0,1.9093999999986409,0.0
-1.3956000000016502,0.0,0.0,1.3956000000016502,0.0
-1.1855999999970663,0.0,0.0,1.1855999999970663,0.0
-1.0648000000055617,0.0,0.0,1.0648000000055617,0.0
-1.039599999998245,0.0,0.0,1.039599999998245,0.0
-1.0243999999966036,0.0,0.0,1.0243999999966036,0.0
-0.984599999999773,0.0,0.0,0.9845999999997731,0.0
-1.2204000000056112,0.0,0.0,1.2204000000056112,0.0
-1.5815999999977066,0.1954936335,0.0,1.3861063664977067,0.0
-3.1837999999988824,2.2206722685,0.0,0.9631277314988824,0.0
-3.186600000000908,5.3769760785,-2.190376078499092,-0.0,0.0
-2.9081999999980326,1.936405128,0.9717948719980325,-0.0,0.0
-3.2886000000034983,9.3269764665,-6.0383764664965005,-0.0,0.0
-2.7885999999980413,7.215427521,-4.426827521001958,-0.0,0.0
-4.383799999997791,1.557727272,2.8260727279977913,-0.0,0.0
