demand_heat,district_heating_industry
-0.529,0.529
-0.544,0.544
-0.514,0.514
-0.488,0.488
-0.481,0.481
-2.385,2.385
-0.818,0.818
-42.278,42.278
-45.511,45.511
-29.876,29.876
-36.857,36.857
-35.838,35.838
-30.127,30.127
-31.64,31.64
-32.24,32.24
-36.209,36.209
-32.258,32.258
-37.736,37.736
-19.931,19.931
-21.216,21.216
-35.493,35.493
-24.542,24.542
-28.03,28.03
-2.618,2.618
-0.491,0.491
-0.481,0.481
-0.481,0.481
-0.481,0.481
-0.481,0.481
-2.164,2.164
-6.603,6.603
-47.571,47.571
-39.572,39.572
-30.003,30.003
-24.244,24.244
-41.659,41.659
-29.542,29.542
-32.147,32.147
-29.534,29.534
-17.274,17.274
-26.72,26.72
-15.748,15.748
-46.623,46.623
-18.184,18.184
-16.765,16.765
-43.724,43.724
-29.932,29.932
-1.776,1.776
-0.494,0.494
-0.481,0.481
-0.661,0.661
-0.481,0.481
-0.481,0.481
-1.566,1.566
-3.085,3.085
-44.533,44.533
-34.13,34.13
-42.632,42.632
-35.896,35.896
-23.341,23.341
-35.555,35.555
-18.718,18.718
-20.5,20.5
-16.873,16.873
-22.179,22.179
-27.186,27.186
-27.888,27.888
-36.247,36.247
-21.769,21.769
-27.458,27.458
-25.779,25.779
-1.472,1.472
-0.554,0.554
-0.615,0.615
-0.481,0.481
-0.498,0.498
-0.484,0.484
-7.711,7.711
-16.938,16.938
-72.691,72.691
-20.475,20.475
-39.877,39.877
-34.0,34.0
-18.992,18.992
-27.241,27.241
-17.805,17.805
-32.999,32.999
-27.914,27.914
-39.236,39.236
-31.613,31.613
-28.553,28.553
-24.789,24.789
-20.366,20.366
-32.129,32.129
-33.848,33.848
-2.348,2.348
-0.512,0.512
-0.481,0.481
-0.481,0.481
-0.501,0.501
-0.481,0.481
-2.148,2.148
-1.814,1.814
-52.347,52.347
-42.887,42.887
-41.399,41.399
-22.399,22.399
-30.779,30.779
-26.179,26.179
-24.716,24.716
-19.954,19.954
-40.644,40.644
-37.304,37.304
-25.912,25.912
-40.089,40.089
-33.58,33.58
-18.366,18.366
-14.524,14.524
-30.157,30.157
-3.4,3.4
-0.488,0.488
-0.723,0.723
-0.481,0.481
-0.481,0.481
-3.018,3.018
-4.885,4.885
-3.545,3.545
-31.367,31.367
-48.527,48.527
-31.8,31.8
-31.363,31.363
-19.244,19.244
-33.771,33.771
-27.1,27.1
-31.24,31.24
-28.463,28.463
-27.246,27.246
-38.297,38.297
-18.384,18.384
-25.648,25.648
-25.649,25.649
-35.865,35.865
-23.526,23.526
-2.434,2.434
-0.527,0.527
-0.561,0.561
-0.481,0.481
-0.481,0.481
-0.481,0.481
-2.148,2.148
-5.693,5.693
-29.761,29.761
-28.813,28.813
-44.749,44.749
-56.08,56.08
-29.668,29.668
-30.217,30.217
-31.176,31.176
-45.527,45.527
-34.415,34.415
-34.116,34.116
-33.519,33.519
-23.339,23.339
-21.95,21.95
-29.39,29.39
-39.16,39.16
-37.537,37.537
-2.133,2.133
-1.009,1.009
-0.668,0.668
-0.481,0.481
