demand_heat,heat_pump
-24.491,24.491
-15.927,15.927
-5.855,5.855
-2.927,2.927
-6.745,6.745
-0.964,0.964
0.0,0.0
0.0,0.0
0.0,0.0
-21.855,21.855
-25.745,25.745
-35.527,35.527
-25.745,25.745
-21.636,21.636
-27.6,27.6
-27.6,27.6
-29.527,29.527
-18.782,18.782
-23.818,23.818
-12.927,12.927
-25.527,25.527
-38.236,38.236
-35.382,35.382
-20.709,20.709
-26.491,26.491
-21.709,21.709
-2.927,2.927
-5.782,5.782
-1.0,1.0
-1.927,1.927
-0.964,0.964
0.0,0.0
-0.964,0.964
-16.927,16.927
-20.927,20.927
-34.636,34.636
-31.673,31.673
-28.345,28.345
-29.564,29.564
-21.673,21.673
-23.564,23.564
-33.2,33.2
-19.818,19.818
-24.636,24.636
-26.564,26.564
-28.454,28.454
-18.855,18.855
-32.273,32.273
-22.673,22.673
-16.855,16.855
-2.891,2.891
-1.927,1.927
-3.891,3.891
-0.964,0.964
-0.964,0.964
0.0,0.0
0.0,0.0
-20.964,20.964
-25.818,25.818
-29.818,29.818
-26.709,26.709
-18.964,18.964
-19.782,19.782
-19.818,19.818
-14.964,14.964
-18.782,18.782
-25.818,25.818
-16.964,16.964
-20.891,20.891
-30.491,30.491
-25.636,25.636
-30.382,30.382
-34.454,34.454
-21.782,21.782
-2.964,2.964
-6.782,6.782
-2.927,2.927
-0.964,0.964
0.0,0.0
-1.927,1.927
0.0,0.0
-20.891,20.891
-20.818,20.818
-24.709,24.709
-35.454,35.454
-31.818,31.818
-23.745,23.745
-20.964,20.964
-26.709,26.709
-31.491,31.491
-32.527,32.527
-35.673,35.673
-21.855,21.855
-32.673,32.673
-36.636,36.636
-35.418,35.418
-33.491,33.491
-18.818,18.818
-7.745,7.745
-3.891,3.891
-1.927,1.927
-2.927,2.927
0.0,0.0
-0.964,0.964
-0.964,0.964
-27.927,27.927
-29.891,29.891
-36.6,36.6
-29.673,29.673
-22.855,22.855
-31.6,31.6
-24.745,24.745
-15.891,15.891
-34.6,34.6
-21.818,21.818
-25.782,25.782
-23.709,23.709
-26.673,26.673
-34.418,34.418
-26.855,26.855
-38.345,38.345
-17.818,17.818
-3.927,3.927
-5.818,5.818
-5.818,5.818
-2.0,2.0
-1.964,1.964
0.0,0.0
0.0,0.0
-31.927,31.927
-37.709,37.709
-34.745,34.745
-29.673,29.673
-17.818,17.818
-25.891,25.891
-17.855,17.855
-21.964,21.964
-26.745,26.745
-27.673,27.673
-20.818,20.818
-14.927,14.927
-14.891,14.891
-36.2,36.2
-37.382,37.382
-32.236,32.236
-17.564,17.564
-4.891,4.891
-0.964,0.964
-0.964,0.964
0.0,0.0
-0.964,0.964
-1.927,1.927
0.0,0.0
-26.891,26.891
-30.855,30.855
-27.709,27.709
-26.6,26.6
-24.818,24.818
-29.309,29.309
-16.709,16.709
-20.709,20.709
-25.709,25.709
-24.818,24.818
-22.745,22.745
-20.782,20.782
-27.673,27.673
-30.527,30.527
-21.564,21.564
-19.818,19.818
-10.818,10.818
-6.855,6.855
-8.745,8.745
-4.855,4.855
-1.927,1.927
0.0,0.0
0.0,0.0
0.0,0.0
-22.964,22.964
-26.891,26.891
-38.382,38.382
-27.673,27.673
-9.927,9.927
-14.927,14.927
-22.564,22.564
-20.673,20.673
-27.673,27.673
-35.418,35.418
-15.891,15.891
-16.782,16.782
-17.709,17.709
-26.818,26.818
-32.236,32.236
-12.673,12.673
-25.636,25.636
-9.745,9.745
-6.745,6.745
-4.818,4.818
-2.927,2.927
-1.0,1.0
0.0,0.0
0.0,0.0
-23.0,23.0
-27.891,27.891
-27.745,27.745
-28.418,28.418
-10.745,10.745
-31.491,31.491
-29.491,29.491
-13.745,13.745
-23.418,23.418
-37.345,37.345
-25.673,25.673
-17.745,17.745
-22.636,22.636
-37.418,37.418
-17.745,17.745
-15.891,15.891
-24.6,24.6
-2.891,2.891
-2.927,2.927
-5.855,5.855
0.0,0.0
-1.0,1.0
0.0,0.0
-1.0,1.0
-25.891,25.891
-27.855,27.855
-23.818,23.818
-19.818,19.818
-17.782,17.782
-17.855,17.855
-16.927,16.927
-18.891,18.891
-25.745,25.745
-16.782,16.782
-23.709,23.709
-21.673,21.673
-18.891,18.891
-17.927,17.927
-26.564,26.564
-28.382,28.382
-15.927,15.927
-4.891,4.891
-1.964,1.964
-1.964,1.964
-3.855,3.855
-1.0,1.0
0.0,0.0
-1.927,1.927
-24.927,24.927
-36.782,36.782
-31.709,31.709
-17.818,17.818
-17.927,17.927
-41.382,41.382
-21.855,21.855
-21.673,21.673
-14.782,14.782
-30.673,30.673
-14.818,14.818
-20.782,20.782
-27.636,27.636
-21.891,21.891
-30.236,30.236
-13.855,13.855
-21.527,21.527
