demand_electricity,pv,heat_pump,import,export_pv
-0.0,0.0,-0.0,0.7851541261436745,0.0
-0.0,0.0,-0.0,0.9481695088518832,0.0
-0.0,0.0,-0.0,0.6780571904100879,0.0
-0.0,0.0,-0.0,0.22353741769513108,0.0
-0.0,0.0,-0.0,0.1704668625722271,0.0
-0.0,0.0,-0.0,0.3302908489818992,0.0
-0.0,0.0,-0.0,0.2578313283418021,0.0
-0.0,0.0,-0.0,1.6262093913082603,0.0
-0.0,0.0,-0.0,1.2238457259552467,0.0
-0.0,0.0,-0.0,1.163725152169394,0.0
-0.0,0.0,-0.0,2.270247178034539,0.0
-0.0,0.0,-0.0,2.5983334507360385,0.0
-0.0,0.0,-0.0,1.3324470254669418,0.0
-0.0,0.0,-0.0,1.233005366439899,0.0
-0.0,0.0,-0.0,1.1924913245568265,0.0
-0.0,0.0,-0.0,2.373278904755862,0.0
-0.0,0.0,-0.0,2.378286654879368,0.0
-0.0,0.0,-0.0,3.3317774033068503,0.0
-0.0,0.0,-0.0,2.3058486872651556,0.0
-0.0,0.0,-0.0,3.011190411401771,0.0
-0.0,0.0,-0.0,3.7681221355405845,0.0
-0.0,0.0,-0.0,2.5125130354903122,0.0
-0.0,0.0,-0.0,2.3921982836663234,0.0
-0.0,0.0,-0.0,0.8728904283912996,0.0
-0.0,0.0,-0.0,0.5176675352385285,0.0
-0.0,0.0,-0.0,0.2976869409347637,0.0
-0.0,0.0,-0.0,0.25410027426889426,0.0
-0.0,0.0,-0.0,0.1814668625726491,0.0
-0.0,0.0,-0.0,0.26175360760174954,0.0
-0.0,0.0,-0.0,0.3279752167966371,0.0
-0.0,0.0,-0.0,0.5768554662730505,0.0
-0.0,0.0,-0.0,2.791189949031441,0.0
-0.0,0.0,-0.0,2.293587083632873,0.0
-0.0,0.0,-0.0,1.6861556760641006,0.0
-0.0,0.0,-0.0,1.4906873423263758,0.0
-0.0,0.0,-0.0,2.5939894846145193,0.0
-0.0,0.0,-0.0,1.6585938457630949,0.0
-0.0,0.0,-0.0,2.124214156082045,0.0
-0.0,0.0,-0.0,1.8634963586206919,0.0
-0.0,0.0,-0.0,1.3154248614645565,0.0
-0.0,0.0,-0.0,2.2910706021057035,0.0
-0.0,0.0,-0.0,2.283037846088585,0.0
-0.0,0.0,-0.0,4.640488381618425,0.0
-0.0,0.0,-0.0,2.348386637889152,0.0
-0.0,0.0,-0.0,2.3044348745699823,0.0
-0.0,0.0,-0.0,3.725888628492514,0.0
-0.0,0.0,-0.0,2.3482778800666124,0.0
-0.0,0.0,-0.0,0.5563908489809825,0.0
-0.0,0.0,-0.0,0.3925330132980973,0.0
-0.0,0.0,-0.0,0.26104025467816816,0.0
-0.0,0.0,-0.0,0.14896567396621727,0.0
-0.0,0.0,-0.0,0.13274682339124927,0.0
-0.0,0.0,-0.0,0.1586101763157343,0.0
-0.0,0.0,-0.0,0.17190452454080807,0.0
-0.0,0.0,-0.0,0.41982927896683353,0.0
-0.0,0.0,-0.0,3.4779360239962673,0.0
-0.0,0.0,-0.0,2.8729640341502436,0.0
-0.0,0.0,-0.0,3.424549312436811,0.0
-0.0,0.0,-0.0,3.3290564416790547,0.0
-0.0,0.0,-0.0,2.2487121968679595,0.0
-0.0,0.0,-0.0,1.684713707052209,0.0
-0.0,0.0,-0.0,0.4175498735769845,0.0
-0.0,0.0,-0.0,1.6032734375701458,0.0
-0.0,0.0,-0.0,2.685483846786985,0.0
-0.0,0.0,-0.0,3.053539149637487,0.0
-0.0,0.0,-0.0,4.027786794611824,0.0
-0.0,0.0,-0.0,4.468967733746948,0.0
-0.0,0.0,-0.0,4.83161618071969,0.0
-0.0,0.0,-0.0,2.9511357379399454,0.0
-0.0,0.0,-0.0,2.769083150433227,0.0
-0.0,0.0,-0.0,2.12785320660265,0.0
-0.0,0.0,-0.0,0.5820361755185111,0.0
-0.0,0.0,-0.0,0.45867615592859834,0.0
-0.0,0.0,-0.0,0.27671590645201727,0.0
-0.0,0.0,-0.0,0.2044535488300997,0.0
-0.0,0.0,-0.0,0.1902483764160825,0.0
-0.0,0.0,-0.0,0.20024067526720038,0.0
-0.0,0.0,-0.0,0.5113326488800145,0.0
-0.0,0.0,-0.0,1.2284527272424115,0.0
-0.0,0.0,-0.0,4.939020352630482,0.0
-0.0,0.0,-0.0,1.8181484290528722,0.0
-0.0,0.0,-0.0,2.792311927417692,0.0
-0.0,0.0,-0.0,1.5607497552792127,0.0
-0.0,0.0,-0.0,1.5438538964409123,0.0
-0.0,0.0,-0.0,0.8569408119075405,0.0
-0.0,0.0,-0.0,0.498443331841016,0.0
-0.0,0.0,-0.0,2.5921962462002126,0.0
-0.0,0.0,-0.0,2.171041603151091,0.0
-0.0,0.0,-0.0,3.0376810618753796,0.0
-0.0,0.0,-0.0,2.990634874570285,0.0
-0.0,0.0,-0.0,2.9115337251464104,0.0
-0.0,0.0,-0.0,2.4050968090021834,0.0
-0.0,0.0,-0.0,1.9778760801671809,0.0
-0.0,0.0,-0.0,2.372283531840693,0.0
-0.0,0.0,-0.0,2.429471577817601,0.0
-0.0,0.0,-0.0,0.6118692593766283,0.0
-0.0,0.0,-0.0,0.3677368259919402,0.0
-0.0,0.0,-0.0,0.25626354882985003,0.0
-0.0,0.0,-0.0,0.1514934900582427,0.0
-0.0,0.0,-0.0,0.1421785475295342,0.0
-0.0,0.0,-0.0,0.14058682339168235,0.0
-0.0,0.0,-0.0,0.21274465907386167,0.0
-0.0,0.0,-0.0,0.41297828366467493,0.0
-0.0,0.0,-0.0,4.471022499958605,0.0
-0.0,0.0,-0.0,3.5457524082755345,0.0
-0.0,0.0,-0.0,3.424964921679297,0.0
-0.0,0.0,-0.0,2.0133505758764447,0.0
-0.0,0.0,-0.0,2.6590944768023896,0.0
-0.0,0.0,-0.0,0.9493667892424261,0.0
-0.0,0.0,-0.0,1.2604614092945263,0.0
-0.0,0.0,-0.0,2.2300948553986424,0.0
-0.0,0.0,-0.0,4.0378011775753055,0.0
-0.0,0.0,-0.0,4.168041944836752,0.0
-0.0,0.0,-0.0,3.535914322049279,0.0
-0.0,0.0,-0.0,5.278571908255858,0.0
-0.0,0.0,-0.0,4.603081563427869,0.0
-0.0,0.0,-0.0,2.4363784012110243,0.0
-0.0,0.0,-0.0,1.837238132142478,0.0
-0.0,0.0,-0.0,2.847412135540215,0.0
-0.0,0.0,-0.0,0.84071073663985,0.0
-0.0,0.0,-0.0,0.5971173079546499,0.0
-0.0,0.0,-0.0,0.4268233803171416,0.0
-0.0,0.0,-0.0,0.33250037222162837,0.0
-0.0,0.0,-0.0,0.2793003526309465,0.0
-0.0,0.0,-0.0,0.43052435602818606,0.0
-0.0,0.0,-0.0,0.6144516365894851,0.0
-0.0,0.0,-0.0,0.5895774033064312,0.0
-0.0,0.0,-0.0,3.1684830942605955,0.0
-0.0,0.0,-0.0,4.826774401430601,0.0
-0.0,0.0,-0.0,2.8673471623688944,0.0
-0.0,0.0,-0.0,3.582753534220863,0.0
-0.0,0.0,-0.0,2.5570329418184463,0.0
-0.0,0.0,-0.0,1.939067834423605,0.0
-0.0,0.0,-0.0,1.210895594821427,0.0
-0.0,0.0,-0.0,2.461337542939757,0.0
-0.0,0.0,-0.0,2.6180719180815126,0.0
-0.0,0.0,-0.0,2.891328075972939,0.0
-0.0,0.0,-0.0,4.350060528945537,0.0
-0.0,0.0,-0.0,2.8370115634280104,0.0
-0.0,0.0,-0.0,3.916624456583462,0.0
-0.0,0.0,-0.0,3.5805723288448923,0.0
-0.0,0.0,-0.0,3.6441310252967116,0.0
-0.0,0.0,-0.0,2.6924306804704234,0.0
-0.0,0.0,-0.0,0.787524549332583,0.0
-0.0,0.0,-0.0,0.5522714458851404,0.0
-0.0,0.0,-0.0,0.3976535148522712,0.0
-0.0,0.0,-0.0,0.3564003918106339,0.0
-0.0,0.0,-0.0,0.3449337251452691,0.0
-0.0,0.0,-0.0,0.36466705847971226,0.0
-0.0,0.0,-0.0,0.48317420450450993,0.0
-0.0,0.0,-0.0,0.7941693011593893,0.0
-0.0,0.0,-0.0,3.0098928839668324,0.0
-0.0,0.0,-0.0,3.3555052386183046,0.0
-0.0,0.0,-0.0,4.530470419134709,0.0
-0.0,0.0,-0.0,5.490303036184907,0.0
-0.0,0.0,-0.0,2.7265106912034143,0.0
-0.0,0.0,-0.0,1.515950002921869,0.0
-0.0,0.0,-0.0,1.7987500144375246,0.0
-0.0,0.0,-0.0,3.828018171294685,0.0
-0.0,0.0,-0.0,3.295933094617349,0.0
-0.0,0.0,-0.0,3.287586677070891,0.0
-0.0,0.0,-0.0,3.9612822530840863,0.0
-0.0,0.0,-0.0,3.0834191496353234,0.0
-0.0,0.0,-0.0,3.6025007392403547,0.0
-0.0,0.0,-0.0,3.938822328845809,0.0
-0.0,0.0,-0.0,4.21686115983076,0.0
-0.0,0.0,-0.0,3.8997879218467286,0.0
-0.0,0.0,-0.0,0.9661379976103112,0.0
-0.0,0.0,-0.0,0.7265289367403817,0.0
-0.0,0.0,-0.0,0.38146179071251884,0.0
-0.0,0.0,-0.0,0.3535337251448384,0.0
-0.0,0.0,-0.0,0.35760039181233355,0.0
-0.0,0.0,-0.0,0.41722338031835815,0.0
-0.0,0.0,-0.0,0.5297452193980632,0.0
-0.0,0.0,-0.0,0.6236068677742498,0.0
-0.0,0.0,-0.0,5.499718151734047,0.0
-0.0,0.0,-0.0,3.90156714397778,0.0
-0.0,0.0,-0.0,3.4035539152456424,0.0
-0.0,0.0,-0.0,2.871259219372796,0.0
-0.0,0.0,-0.0,2.5735788048772235,0.0
-0.0,0.0,-0.0,0.6852112741224949,0.0
-0.0,0.0,-0.0,1.4394048964508364,0.0
-0.0,0.0,-0.0,3.1517066150088637,0.0
-0.0,0.0,-0.0,2.6247368729213725,0.0
-0.0,0.0,-0.0,1.7956280563809446,0.0
-0.0,0.0,-0.0,5.244943901460951,0.0
-0.0,0.0,-0.0,4.308390242890655,0.0
-0.0,0.0,-0.0,9.541387234794747,0.0
-0.0,0.0,-0.0,3.5625371002611605,0.0
-0.0,0.0,-0.0,3.5086597805175184,0.0
-0.0,0.0,-0.0,2.000347462078606,0.0
-0.0,0.0,-0.0,0.8928155080551645,0.0
-0.0,0.0,-0.0,0.6563666378911879,0.0
-0.0,0.0,-0.0,0.32353372514381973,0.0
-0.0,0.0,-0.0,0.3760095872157655,0.0
-0.0,0.0,-0.0,0.31793370555406775,0.0
-0.0,0.0,-0.0,0.29592035263105826,0.0
-0.0,0.0,-0.0,0.39112539051159784,0.0
-0.0,0.0,-0.0,0.3654417319401737,0.0
-0.0,0.0,-0.0,1.4553807170494137,0.0
-0.0,0.0,-0.0,3.2427500251637573,0.0
-0.0,0.0,-0.0,2.864496348633795,0.0
-0.0,0.0,-0.0,1.0314263412839928,0.0
-0.0,0.0,-0.0,1.9406344584089095,0.0
-0.0,0.0,-0.0,1.0129453370220174,0.0
-0.0,0.0,-0.0,1.7532236144272513,0.0
-0.0,0.0,-0.0,3.0258571879024654,0.0
-0.0,0.0,-0.0,1.8730895558756102,0.0
-0.0,0.0,-0.0,2.839612174721566,0.0
-0.0,0.0,-0.0,2.549844417402119,0.0
-0.0,0.0,-0.0,4.052051908256498,0.0
-0.0,0.0,-0.0,3.7996825979111537,0.0
-0.0,0.0,-0.0,1.843434952933705,0.0
-0.0,0.0,-0.0,4.172942729844278,0.0
-0.0,0.0,-0.0,3.3143434194983814,0.0
-0.0,0.0,-0.0,0.6535682079047688,0.0
-0.0,0.0,-0.0,0.5122463688227762,0.0
-0.0,0.0,-0.0,0.3295870388877015,0.0
-0.0,0.0,-0.0,0.3311061389389547,0.0
-0.0,0.0,-0.0,0.28564025727918996,0.0
-0.0,0.0,-0.0,0.28833552504440085,0.0
-0.0,0.0,-0.0,1.2594623262441156,0.0
-0.0,0.0,-0.0,1.6842515046580362,0.0
-0.0,0.0,-0.0,6.275252311855649,0.0
-0.0,0.0,-0.0,7.469945758222185,0.0
-0.0,0.0,-0.0,6.034131800991435,0.0
-0.0,0.0,-0.0,2.1359773429830557,0.0
-0.0,0.0,-0.0,1.661767380528385,0.0
-0.0,0.0,-0.0,0.0,0.0
-0.0,0.0,-0.0,1.0869219056503323,0.0
-0.0,0.0,-0.0,3.398716372414586,0.0
-0.0,0.0,-0.0,2.7001132291244887,0.0
-0.0,0.0,-0.0,3.55263733014473,0.0
-0.0,0.0,-0.0,3.7892592084076666,0.0
-0.0,0.0,-0.0,4.414340568127301,0.0
-0.0,0.0,-0.0,11.797823901460227,0.0
-0.0,0.0,-0.0,5.704065796712094,0.0
-0.0,0.0,-0.0,2.2263728839674424,0.0
-0.0,0.0,-0.0,3.0582052585793256,0.0
-0.0,0.0,-0.0,1.187269357329697,0.0
-0.0,0.0,-0.0,0.8792141849161719,0.0
