demand_heat,district_heating_industry
-92.793,92.793
-59.256,59.256
-19.512,19.512
-9.256,9.256
-21.397,21.397
-5.628,5.628
0.0,0.0
-2.0,2.0
0.0,0.0
-53.512,53.512
-106.397,106.397
-81.14,81.14
-80.397,80.397
-84.281,84.281
-93.909,93.909
-81.909,81.909
-97.165,97.165
-73.769,73.769
-71.14,71.14
-65.256,65.256
-91.165,91.165
-104.306,104.306
-91.421,91.421
-72.025,72.025
-81.537,81.537
-73.025,73.025
-13.256,13.256
-22.769,22.769
-1.0,1.0
-6.256,6.256
-2.628,2.628
-1.0,1.0
-2.628,2.628
-49.256,49.256
-97.256,97.256
-83.769,83.769
-85.653,85.653
-110.306,110.306
-92.537,92.537
-86.653,86.653
-95.537,95.537
-98.049,98.049
-70.14,70.14
-63.14,63.14
-84.909,84.909
-87.793,87.793
-67.512,67.512
-92.049,92.049
-68.653,68.653
-59.512,59.512
-19.884,19.884
-11.256,11.256
-9.884,9.884
-2.628,2.628
-3.628,3.628
-2.0,2.0
0.0,0.0
-48.628,48.628
-103.14,103.14
-76.14,76.14
-81.025,81.025
-71.628,71.628
-75.769,75.769
-77.14,77.14
-62.628,62.628
-74.769,74.769
-65.14,65.14
-60.628,60.628
-61.884,61.884
-78.025,78.025
-77.281,77.281
-86.421,86.421
-81.281,81.281
-66.769,66.769
-13.628,13.628
-19.769,19.769
-11.256,11.256
-4.628,4.628
-1.0,1.0
-5.256,5.256
-1.0,1.0
-52.884,52.884
-107.14,107.14
-78.14,78.14
-90.909,90.909
-75.14,75.14
-80.397,80.397
-66.628,66.628
-86.025,86.025
-90.537,90.537
-85.165,85.165
-75.653,75.653
-64.512,64.512
-66.14,66.14
-72.397,72.397
-85.793,85.793
-67.537,67.537
-63.14,63.14
-27.397,27.397
-16.884,16.884
-8.256,8.256
-6.256,6.256
0.0,0.0
-2.628,2.628
-2.628,2.628
-51.256,51.256
-98.884,98.884
-93.909,93.909
-84.653,84.653
-69.512,69.512
-91.909,91.909
-84.397,84.397
-66.884,66.884
-87.909,87.909
-72.14,72.14
-69.769,69.769
-77.025,77.025
-83.653,83.653
-87.165,87.165
-62.512,62.512
-88.793,88.793
-60.14,60.14
-15.256,15.256
-23.14,23.14
-15.14,15.14
0.0,0.0
-2.628,2.628
0.0,0.0
0.0,0.0
-50.256,50.256
-104.025,104.025
-89.397,89.397
-79.653,79.653
-70.14,70.14
-65.884,65.884
-73.512,73.512
-64.628,64.628
-78.397,78.397
-75.653,75.653
-71.14,71.14
-61.256,61.256
-59.884,59.884
-57.884,57.884
-89.421,89.421
-56.884,56.884
-79.537,79.537
-18.884,18.884
-8.628,8.628
-4.628,4.628
-1.0,1.0
-2.628,2.628
-7.256,7.256
0.0,0.0
-48.884,48.884
-88.512,88.512
-83.025,83.025
-97.909,97.909
-76.14,76.14
-102.677,102.677
-88.025,88.025
-75.025,75.025
-78.025,78.025
-64.14,64.14
-69.397,69.397
-64.769,64.769
-65.397,65.397
-62.512,62.512
-75.537,75.537
-57.14,57.14
-60.14,60.14
-17.512,17.512
-23.397,23.397
-13.512,13.512
-7.256,7.256
-1.0,1.0
0.0,0.0
0.0,0.0
-46.628,46.628
-86.884,86.884
-95.165,95.165
-78.653,78.653
-75.256,75.256
-73.256,73.256
-85.537,85.537
-83.653,83.653
-72.653,72.653
-95.049,95.049
-59.884,59.884
-60.769,60.769
-65.025,65.025
-59.14,59.14
-97.934,97.934
-73.653,73.653
-54.14,54.14
-28.397,28.397
-22.397,22.397
-14.14,14.14
-9.256,9.256
0.0,0.0
-1.0,1.0
0.0,0.0
-41.0,41.0
-94.884,94.884
-79.397,79.397
-91.165,91.165
-71.397,71.397
-91.281,91.281
-102.793,102.793
-77.397,77.397
-90.049,90.049
-96.306,96.306
-66.653,66.653
-54.256,54.256
-74.281,74.281
-87.165,87.165
-53.512,53.512
-58.884,58.884
-75.909,75.909
-19.884,19.884
-9.256,9.256
-13.512,13.512
0.0,0.0
-1.0,1.0
0.0,0.0
-1.0,1.0
-46.884,46.884
-100.512,100.512
-74.14,74.14
-70.14,70.14
-79.769,79.769
-66.512,66.512
-68.256,68.256
-64.884,64.884
-78.397,78.397
-66.769,66.769
-73.025,73.025
-70.653,70.653
-57.884,57.884
-55.256,55.256
-82.281,82.281
-96.677,96.677
-47.256,47.256
-16.884,16.884
-11.628,11.628
-4.628,4.628
-11.512,11.512
0.0,0.0
0.0,0.0
-5.256,5.256
-46.256,46.256
-106.769,106.769
-83.025,83.025
-80.14,80.14
-73.256,73.256
-115.677,115.677
-69.512,69.512
-80.653,80.653
-72.769,72.769
-78.653,78.653
-62.14,62.14
-60.769,60.769
-74.281,74.281
-60.884,60.884
-80.421,80.421
-55.512,55.512
-54.884,54.884
-11.628,11.628
-27.653,27.653
-3.628,3.628
-7.256,7.256
-3.628,3.628
0.0,0.0
0.0,0.0
-46.256,46.256
-93.14,93.14
-83.14,83.14
-77.14,77.14
-74.14,74.14
-76.14,76.14
-82.653,82.653
-75.769,75.769
-72.025,72.025
-61.0,61.0
-84.909,84.909
-56.256,56.256
-73.653,73.653
-48.256,48.256
-57.769,57.769
-88.306,88.306
-86.281,86.281
-13.884,13.884
-16.512,16.512
-13.512,13.512
-2.0,2.0
-1.0,1.0
-1.0,1.0
0.0,0.0
-46.628,46.628
-104.769,104.769
-84.025,84.025
-82.769,82.769
-77.14,77.14
-79.025,79.025
-72.14,72.14
-68.512,68.512
-77.884,77.884
-69.397,69.397
-72.769,72.769
-55.256,55.256
-77.537,77.537
-72.025,72.025
