demand_electricity,pv,heat_pump,battery,import,export_pv
-0.0,0.0,-0.0,0.0,1.010560896551667,0.0
-0.0,0.0,-0.0,0.0,0.48464662068971387,0.0
-0.0,0.0,-0.0,0.0,0.4709265517246242,0.0
-0.0,0.0,-0.0,0.0,0.22491744827571067,0.0
-0.0,0.0,-0.0,0.0,0.2660310344827426,0.0
-0.0,0.0,-0.0,0.0,0.2005379310345337,0.0
-0.0,0.0,-0.0,0.0,1.443523448276166,0.0
-0.0,0.0,-0.0,0.0,1.011870344827613,0.0
-0.0,0.0,-0.0,0.0,0.6927876771173087,0.0
-0.0,0.0,-0.0,0.0,0.7190814896050619,0.0
-0.0,0.0,-0.0,0.0,1.4791911588928277,0.0
-0.0,0.0,-0.0,0.0,1.1550548733829797,0.0
-0.0,0.0,-0.0,0.0,1.1502645905956974,0.0
-0.0,0.0,-0.0,0.0,1.0660513922614996,0.0
-0.0,0.0,-0.0,0.0,1.395675351651672,0.0
-0.0,0.0,-0.0,0.0,2.104192841810353,0.0
-0.0,0.0,-0.0,0.0,2.4781720689643842,0.0
-0.0,0.0,-0.0,0.0,2.1700675862066836,0.0
-0.0,0.0,-0.0,0.0,2.8971686896559614,0.0
-0.0,0.0,-0.0,0.0,3.144500896551234,0.0
-0.0,0.0,-0.0,0.0,2.3737487586212374,0.0
-0.0,0.0,-0.0,0.0,2.7013517241378033,0.0
-0.0,0.0,-0.0,0.0,1.3496660689659605,0.0
-0.0,0.0,-0.0,0.0,0.7641908965512668,0.0
-0.0,0.0,-0.0,0.0,0.5880548275860314,0.0
-0.0,0.0,-0.0,0.0,0.39750537931042923,0.0
-0.0,0.0,-0.0,0.0,0.2952619310343756,0.0
-0.0,0.0,-0.0,0.0,0.21335999999992056,0.0
-0.0,0.0,-0.0,0.0,0.13176800000015648,0.0
-0.0,0.0,-0.0,0.0,0.130620000000381,0.0
-0.0,0.0,-0.0,0.0,1.6953320689648126,0.0
-0.0,0.0,-0.0,0.0,1.3700451724141454,0.0
-0.0,0.0,-0.0,0.0,1.343804391235816,0.0
-0.0,0.0,-0.0,0.0,1.5974191581017008,0.0
-0.0,0.0,-0.0,0.0,0.921565810915257,0.0
-0.0,0.0,-0.0,0.0,1.0422177584494117,0.0
-0.0,0.0,-0.0,0.0,2.4410777359417977,0.0
-0.0,0.0,-0.0,0.0,2.405331276892963,0.0
-0.0,0.0,-0.0,0.0,2.4545686298513067,0.0
-0.0,0.0,-0.0,0.0,1.5846424332306464,0.0
-0.0,0.0,-0.0,0.0,2.5159419999997796,0.0
-0.0,0.0,-0.0,0.0,2.6190879310341817,0.0
-0.0,0.0,-0.0,0.0,2.9039926896548534,0.0
-0.0,0.0,-0.0,0.0,2.2513055172423333,0.0
-0.0,0.0,-0.0,0.0,1.8572537931026298,0.0
-0.0,0.0,-0.0,0.0,1.5812664827592848,0.0
-0.0,0.0,-0.0,0.0,2.408257241378835,0.0
-0.0,0.0,-0.0,0.0,0.7129891034484584,0.0
-0.0,0.0,-0.0,0.0,0.41133075862105745,0.0
-0.0,0.0,-0.0,0.0,0.525485103447997,0.0
-0.0,0.0,-0.0,0.0,0.22928772413823814,0.0
-0.0,0.0,-0.0,0.0,0.09742510344835806,0.0
-0.0,0.0,-0.0,0.0,0.09799448275834696,0.0
-0.0,0.0,-0.0,0.0,0.06940799999996672,0.0
-0.0,0.0,-0.0,0.0,1.7249920000000394,0.0
-0.0,0.0,-0.0,0.0,2.236997241379452,0.0
-0.0,0.0,-0.0,0.0,1.5754750066907324,0.0
-0.0,0.0,-0.0,0.0,1.766932581095577,0.0
-0.0,0.0,-0.0,0.0,2.7948765864118226,0.0
-0.0,0.0,-0.0,0.0,1.614442486063605,0.0
-0.0,0.0,-0.0,0.0,0.24074028005887788,0.0
-0.0,0.0,-0.0,0.0,1.2296229055520085,0.0
-0.0,0.0,-0.0,0.0,2.3431725741527596,0.0
-0.0,0.0,-0.0,0.0,3.944372548297703,0.0
-0.0,0.0,-0.0,0.0,2.8195075862066847,0.0
-0.0,0.0,-0.0,0.0,2.7449772413796585,0.0
-0.0,0.0,-0.0,0.0,4.1483515862069,0.0
-0.0,0.0,-0.0,0.0,2.113465103446416,0.0
-0.0,0.0,-0.0,0.0,1.533433793105259,0.0
-0.0,0.0,-0.0,0.0,1.4386317241368414,0.0
-0.0,0.0,-0.0,0.0,0.8361831034486421,0.0
-0.0,0.0,-0.0,0.0,0.5686918620690853,0.0
-0.0,0.0,-0.0,0.0,0.5873410344825547,0.0
-0.0,0.0,-0.0,0.0,0.24365986206919657,0.0
-0.0,0.0,-0.0,0.0,0.16698151724105662,0.0
-0.0,0.0,-0.0,0.0,0.1171280000006118,0.0
-0.0,0.0,-0.0,0.0,0.22538013793084144,0.0
-0.0,0.0,-0.0,0.0,0.16281765517200622,0.0
-0.0,0.0,-0.0,0.0,1.426501517241343,0.0
-0.0,0.0,-0.0,0.0,1.6427271724148034,0.0
-0.0,0.0,-0.0,0.0,2.234600583644369,0.0
-0.0,0.0,-0.0,0.0,1.722059786226167,0.0
-0.0,0.0,-0.0,0.0,1.462404407154138,0.0
-0.0,0.0,-0.0,0.0,2.0697023873044733,0.0
-0.0,0.0,-0.0,0.0,0.45351982223752646,0.0
-0.0,0.0,-0.0,0.0,0.36895035656447517,0.0
-0.0,0.0,-0.0,0.0,2.1732586082809817,0.0
-0.0,0.0,-0.0,0.0,2.975041781234612,0.0
-0.0,0.0,-0.0,0.0,1.4860764827576123,0.0
-0.0,0.0,-0.0,0.0,1.3114800000010582,0.0
-0.0,0.0,-0.0,0.0,2.889535172413943,0.0
-0.0,0.0,-0.0,0.0,2.1582977931039333,0.0
-0.0,0.0,-0.0,0.0,1.9353175172399035,0.0
-0.0,0.0,-0.0,0.0,1.7071944827588743,0.0
-0.0,0.0,-0.0,0.0,0.9542046896554136,0.0
-0.0,0.0,-0.0,0.0,1.2225165517240204,0.0
-0.0,0.0,-0.0,0.0,1.0326737931032672,0.0
-0.0,0.0,-0.0,0.0,0.19797800000027566,0.0
-0.0,0.0,-0.0,0.0,0.15118400000021212,0.0
-0.0,0.0,-0.0,0.0,0.12176220689612192,0.0
-0.0,0.0,-0.0,0.0,0.07038400000004914,0.0
-0.0,0.0,-0.0,0.0,0.08310599999980695,0.0
-0.0,0.0,-0.0,0.0,1.9173910344826617,0.0
-0.0,0.0,-0.0,0.0,2.1639366896558743,0.0
-0.0,0.0,-0.0,0.0,1.4260101677194128,0.0
-0.0,0.0,-0.0,0.0,1.6466396550277194,0.0
-0.0,0.0,-0.0,0.0,0.8310244591604847,0.0
-0.0,0.0,-0.0,0.0,1.9208252609396121,0.0
-0.0,0.0,-0.0,-4.319677186599088,-0.0,0.0
-0.0,0.0,-0.0,3.498938521145261,0.2095105437733182,0.0
-0.0,0.0,-0.0,0.0,3.458379792347872,0.0
-0.0,0.0,-0.0,0.0,3.608265637912198,0.0
-0.0,0.0,-0.0,0.0,2.2899212413805228,0.0
-0.0,0.0,-0.0,0.0,4.320486000000432,0.0
-0.0,0.0,-0.0,0.0,4.16438875862108,0.0
-0.0,0.0,-0.0,0.0,1.9587773793100116,0.0
-0.0,0.0,-0.0,0.0,2.7302979310349578,0.0
-0.0,0.0,-0.0,0.0,2.364740551723763,0.0
-0.0,0.0,-0.0,0.0,2.0349680689657936,0.0
-0.0,0.0,-0.0,0.0,1.053926896551376,0.0
-0.0,0.0,-0.0,0.0,1.103355931034303,0.0
-0.0,0.0,-0.0,0.0,1.1923599999994623,0.0
-0.0,0.0,-0.0,0.0,0.35659724137985777,0.0
-0.0,0.0,-0.0,0.0,0.2879329655173519,0.0
-0.0,0.0,-0.0,0.0,0.23229268965486916,0.0
-0.0,0.0,-0.0,0.0,0.29385924137944913,0.0
-0.0,0.0,-0.0,0.0,1.965495172414066,0.0
-0.0,0.0,-0.0,0.0,2.444617655172449,0.0
-0.0,0.0,-0.0,0.0,3.2469189755573167,0.0
-0.0,0.0,-0.0,0.0,3.154280645482409,0.0
-0.0,0.0,-0.0,0.0,2.13749374254009,0.0
-0.0,0.0,-0.0,0.0,3.1446763225355423,0.0
-0.0,0.0,-0.0,0.0,0.20649969846573266,0.0
-0.0,0.0,-0.0,0.0,1.2156772931319462,0.0
-0.0,0.0,-0.0,0.0,2.6214444604853653,0.0
-0.0,0.0,-0.0,0.0,4.192238755393443,0.0
-0.0,0.0,-0.0,0.0,4.055118965516607,0.0
-0.0,0.0,-0.0,0.0,2.9252898620687686,0.0
-0.0,0.0,-0.0,0.0,3.1714330344822534,0.0
-0.0,0.0,-0.0,0.0,3.257774896552125,0.0
-0.0,0.0,-0.0,0.0,5.068324137932725,0.0
-0.0,0.0,-0.0,0.0,2.77871724137834,0.0
