demand_electricity,pv,battery,import,export_pv
-0.0,0.0,0.0,1.0533891556489836,0.0
-0.0,0.0,0.0,0.8367050876701251,0.0
-0.0,0.0,0.0,0.7391201933907723,0.0
-0.0,0.0,0.0,0.2753999999991356,0.0
-0.0,0.0,0.0,0.23189999999958674,0.0
-0.0,0.0,0.0,0.34369999999922585,0.0
-0.0,0.0,0.0,0.3900000000008731,0.0
-0.0,0.0,0.0,0.3065999999998894,0.0
-0.0,0.0,0.0,0.17925888715048896,0.0
-0.0,0.0,0.0,0.19630133324992438,0.0
-0.0,0.0,0.0,0.7247002073492015,0.0
-0.0,0.0,0.0,0.8081397314994324,0.0
-0.0,0.0,-7.437757154766444,-0.0,0.0
-0.0,0.0,6.018825363996575,-0.0,0.0
-0.0,0.0,0.005757931364244369,0.5820104330835355,0.0
-0.0,0.0,0.0,1.232737035198808,0.0
-0.0,0.0,0.0,1.221280000000188,0.0
-0.0,0.0,0.0,1.6990000000019791,0.0
-0.0,0.0,0.0,1.859969999997702,0.0
-0.0,0.0,0.0,2.4922799999989365,0.0
-0.0,0.0,0.0,2.336250000003056,0.0
-0.0,0.0,0.0,2.0535999999992782,0.0
-0.0,0.0,0.0,1.4741999999991093,0.0
-0.0,0.0,0.0,0.7868799999996554,0.0
-0.0,0.0,0.0,0.7093500000020867,0.0
-0.0,0.0,0.0,0.5023199999984355,0.0
-0.0,0.0,0.0,0.3494399999988673,0.0
-0.0,0.0,0.0,0.25489999999990687,0.0
-0.0,0.0,0.0,0.2555000000006112,0.0
-0.0,0.0,0.0,0.36834000000220846,0.0
-0.0,0.0,0.0,0.29624999999869034,0.0
-0.0,0.0,0.0,0.4462499999986903,0.0
-0.0,0.0,0.0,0.5788050198760477,0.0
-0.0,0.0,0.0,0.18739147040117352,0.0
-0.0,0.0,0.0,0.5385217538231694,0.0
-0.0,0.0,0.0,0.17708752845018874,0.0
-0.0,0.0,-3.5016038085006223,-0.0,0.0
-0.0,0.0,2.836299084885504,2.099867851184683,0.0
